N M h2 pval
-1 -1 0.0001 0.3795632350040047
-1 -1 0.0001 0.15874701499395538
-1 -1 0.0001 0.33426247322898917
-1 -1 0.0001 0.0007484297610029778
-1 -1 0.0001 0.00010736201509076171
-1 -1 0.0001 0.02206233403836466
-1 -1 0.0001 0.00323116742815055
-1 -1 0.0001 2.6098816861885865e-05
-1 -1 0.0001 0.15677494717079432
-1 -1 0.0001 0.026055289456827335
-1 -1 0.0001 1.6942057943225564e-06
-1 -1 0.0001 0.051764136142370853
-1 -1 0.0001 4.230933309812279e-05
-1 -1 0.0001 0.024228406299383387
-1 -1 0.0001 0.48581696240340955
-1 -1 0.0001 0.208010741602894
-1 -1 0.0001 0.2338473051224642
-1 -1 0.0001 0.5077071927877757
-1 -1 0.0001 0.48094057931065715
-1 -1 0.0001 0.0001924034986628964
-1 -1 0.0001 0.261266590168336
-1 -1 0.0001 0.2084499222376337
-1 -1 0.0001 0.04108245085104567
-1 -1 0.0001 0.027641369983768538
-1 -1 0.0001 0.14206933894626328
-1 -1 0.0001 0.0008244221142521546
-1 -1 0.0001 0.014854775286489597
-1 -1 0.0001 0.13639473773664101
-1 -1 0.0001 0.025974820648609453
-1 -1 0.0001 0.3114864203008174
-1 -1 0.0001 0.0015075896063381222
-1 -1 0.0001 0.05295554773209987
-1 -1 0.0001 0.2236475056809546
-1 -1 0.0001 0.45409269685535736
-1 -1 0.0001 0.3850649824520176
-1 -1 0.0001 0.05561866307377239
-1 -1 0.0001 0.10489409048465104
-1 -1 0.0001 0.0002401642889593436
-1 -1 0.0001 2.3631247958455504e-08
-1 -1 0.0001 0.04867493448762028
-1 -1 0.0001 0.32163481865680743
-1 -1 0.0001 0.0014366801088308012
-1 -1 0.0001 0.579191010772337
-1 -1 0.0001 0.02841994841135964
-1 -1 0.0001 0.030017729213268063
-1 -1 0.0001 0.040217540843287436
-1 -1 0.0001 0.12974684228419675
-1 -1 0.0001 0.009863313513163163
-1 -1 0.0001 0.3855844171555721
-1 -1 0.0001 0.03192960420132562
-1 -1 0.0001 0.0013309900120195284
-1 -1 0.0001 0.05083026363913423
-1 -1 0.0001 0.014464132573514421
-1 -1 0.0001 0.011158305692089088
