N M h2 pval
-1 -1 0.0001 0.36118864499631587
-1 -1 0.0001 0.35111936861357995
-1 -1 0.0001 0.20514377768492142
-1 -1 0.0001 0.00015784183328637624
-1 -1 0.0001 1.9103956971910918e-08
-1 -1 0.0001 0.11022156108989178
-1 -1 0.0001 0.09544717295278526
-1 -1 0.0001 0.01779765398511335
-1 -1 0.0001 4.927581787050883e-08
-1 -1 0.0001 0.006962565741649662
-1 -1 0.0001 0.08996829713485588
-1 -1 0.0001 0.031539392435603664
-1 -1 0.0001 0.9714398607369882
-1 -1 0.0001 0.38583868088106854
-1 -1 0.0001 4.583475184971597e-05
-1 -1 0.0001 0.0002854043800526451
-1 -1 0.0001 8.68400173581474e-06
-1 -1 0.0001 0.34364123533140256
-1 -1 0.0001 2.4988770890299605e-06
-1 -1 0.0001 2.5731706283615985e-05
-1 -1 0.0001 0.00853698281044124
-1 -1 0.0001 3.2423916472845704e-06
-1 -1 0.0001 0.07329139387729922
-1 -1 0.0001 0.01796171735117935
-1 -1 0.0001 0.04961149911435181
-1 -1 0.0001 5.6520042182928165e-05
-1 -1 0.0001 0.13891736762202678
-1 -1 0.0001 0.00967858241563646
-1 -1 0.0001 0.00043227450659211186
-1 -1 0.0001 0.2724047777458667
-1 -1 0.0001 6.083069016726839e-06
-1 -1 0.0001 0.0993503347924597
-1 -1 0.0001 0.32665299225701916
-1 -1 0.0001 0.04638063267644765
-1 -1 0.0001 0.035344714379038855
-1 -1 0.0001 0.002238888191321897
-1 -1 0.0001 0.014272919474525358
-1 -1 0.0001 0.014685996984828087
-1 -1 0.0001 0.042456782229649326
-1 -1 0.0001 0.04335282836804
-1 -1 0.0001 0.07898744976002559
-1 -1 0.0001 0.219029338261727
-1 -1 0.0001 0.01659972339173854
-1 -1 0.0001 8.055340643409181e-07
-1 -1 0.0001 2.722538139376951e-08
-1 -1 0.0001 1.7351421055522565e-06
-1 -1 0.0001 0.08392671410730845
-1 -1 0.0001 0.3342418712420747
-1 -1 0.0001 0.007840859368376307
-1 -1 0.0001 3.5227833542150755e-05
-1 -1 0.0001 0.00032016817102964445
-1 -1 0.0001 0.0022856693856219135
-1 -1 0.0001 0.001366307877320505
-1 -1 0.0001 0.005772431976744707
-1 -1 0.0001 0.020655546030600935
-1 -1 0.0001 0.04326564340724948
-1 -1 0.0001 0.08974354713361865
-1 -1 0.0001 0.0006632548427083496
-1 -1 0.0001 9.442140624926765e-09
-1 -1 0.0001 0.00011365294801601866
-1 -1 0.0001 0.09030067479684556
-1 -1 0.0001 1.0714942507927816e-05
-1 -1 0.0001 0.011106514494911512
-1 -1 0.0001 0.1170437760372477
-1 -1 0.0001 0.00041179529934964876
-1 -1 0.0001 0.01756411583274864
-1 -1 0.0001 3.3284832501312422e-06
-1 -1 0.0001 3.2203373308892225e-05
-1 -1 0.0001 3.276484067293861e-05
-1 -1 0.0001 0.06665821391122484
-1 -1 0.0001 0.002223792374989708
-1 -1 0.0001 0.16222816272166596
-1 -1 0.0001 8.61269611185378e-09
-1 -1 0.0001 0.00013381001958234773
