N,M,h2,h2_est,h2_diff
-1,-1,0.001,0.0010001921048011927,-1.92104801192668e-07
-1,-1,0.001,0.00137678702702246,-0.00037678702702245996
-1,-1,0.001,0.0012839073517611856,-0.00028390735176118563
-1,-1,0.001,0.0008000287855714289,0.0001999712144285711
-1,-1,0.001,0.0009045888758921103,9.541112410788976e-05
-1,-1,0.001,0.0008523803216657396,0.00014761967833426038
-1,-1,0.001,0.0010573437594695112,-5.7343759469511216e-05
-1,-1,0.001,0.0008915785841819313,0.00010842141581806871
-1,-1,0.001,0.0010396691826744847,-3.9669182674484686e-05
-1,-1,0.001,0.0010733733246446238,-7.337332464462374e-05
-1,-1,0.001,0.0009484334982949498,5.1566501705050186e-05
-1,-1,0.001,0.0010635673110703952,-6.356731107039519e-05
-1,-1,0.001,0.0008420110958948726,0.00015798890410512743
-1,-1,0.001,0.001089645636495,-8.96456364949999e-05
-1,-1,0.001,0.0009234223455611759,7.657765443882408e-05
-1,-1,0.001,0.0006209198113298557,0.00037908018867014435
-1,-1,0.001,0.00035777443554427946,0.0006422255644557206
-1,-1,0.001,0.00118760890750946,-0.00018760890750946007
-1,-1,0.001,0.0009416474681202097,5.835253187979033e-05
-1,-1,0.001,0.001473246466392345,-0.00047324646639234497
-1,-1,0.001,0.0004939905785930798,0.0005060094214069202
-1,-1,0.001,0.0011647742900668407,-0.00016477429006684068
-1,-1,0.001,0.0011137174134010748,-0.00011371741340107482
-1,-1,0.001,0.0005528822353260349,0.0004471177646739651
-1,-1,0.001,0.0008733394718596914,0.00012666052814030862
-1,-1,0.001,0.0007868486360387888,0.00021315136396121118
-1,-1,0.001,0.000818269670922818,0.00018173032907718202
-1,-1,0.001,0.0010667593950242106,-6.675939502421061e-05
-1,-1,0.001,0.0013931239670785243,-0.00039312396707852425
-1,-1,0.001,0.0013717264252001377,-0.00037172642520013764
-1,-1,0.001,0.0010313291607246776,-3.132916072467757e-05
-1,-1,0.001,0.0007288962443944682,0.0002711037556055318
-1,-1,0.001,0.0012485008332301154,-0.00024850083323011535
-1,-1,0.001,0.0014226468553639527,-0.0004226468553639527
-1,-1,0.001,0.0011138564817041667,-0.00011385648170416664
-1,-1,0.001,0.0008502007478923988,0.00014979925210760123
-1,-1,0.001,0.0003252999582331795,0.0006747000417668206
-1,-1,0.001,0.0008724673304913525,0.0001275326695086475
-1,-1,0.001,0.0011380361424077944,-0.00013803614240779434
-1,-1,0.001,0.0008593818112766688,0.00014061818872333125
-1,-1,0.001,0.0005217761401702738,0.00047822385982972625
-1,-1,0.001,0.0016497177273957127,-0.0006497177273957126
-1,-1,0.001,0.0005247834161470939,0.0004752165838529061
-1,-1,0.001,0.0008288124572450964,0.00017118754275490357
-1,-1,0.001,0.0004584847213886015,0.0005415152786113985
-1,-1,0.001,0.0012458538876656512,-0.00024585388766565114
-1,-1,0.001,0.0008979480416280007,0.0001020519583719993
-1,-1,0.001,0.001162885268152124,-0.00016288526815212397
-1,-1,0.001,0.0011655744140309711,-0.0001655744140309711
-1,-1,0.001,0.0008232414022328657,0.00017675859776713435
-1,-1,0.001,0.000894869401868683,0.00010513059813131698
-1,-1,0.005,0.0025833991636728016,0.0024166008363271986
-1,-1,0.005,0.004292592859393732,0.0007074071406062681
-1,-1,0.005,0.005329985609797151,-0.0003299856097971508
-1,-1,0.005,0.0036860756881010362,0.0013139243118989639
-1,-1,0.005,0.005291357728761118,-0.0002913577287611182
-1,-1,0.005,0.007265598374235283,-0.002265598374235283
-1,-1,0.005,0.004062038608384604,0.0009379613916153957
-1,-1,0.005,0.005648223348417815,-0.0006482233484178153
-1,-1,0.005,0.0043412165158458705,0.0006587834841541296
-1,-1,0.005,0.005093163250910928,-9.316325091092773e-05
-1,-1,0.005,0.005835167784040267,-0.0008351677840402671
-1,-1,0.005,0.005082722764378377,-8.272276437837692e-05
-1,-1,0.005,0.005045250261761434,-4.525026176143386e-05
