N,M,h2,h2_est
-1,5,0.01,0.011449994261553966
-1,5,0.01,0.0035951694729524615
-1,5,0.01,0.009693465762125743
-1,5,0.01,0.011897007944717956
-1,5,0.01,0.023173209516601314
-1,5,0.01,0.008662407057721047
-1,5,0.01,0.013790688465994436
-1,5,0.01,0.009361445754302094
-1,5,0.01,0.008795440221659142
-1,5,0.01,0.023857731639407888
-1,5,0.01,0.016337616857087317
-1,5,0.01,0.004494874609795874
-1,5,0.01,0.0045613607245021046
-1,5,0.01,0.011830333986301981
-1,5,0.01,0.010851270866354049
-1,5,0.01,0.009263997066939207
-1,5,0.01,0.008297244080513976
-1,5,0.01,0.01088957574343129
-1,10,0.01,0.010003043224622827
-1,10,0.01,0.011432321986863359
-1,10,0.01,0.011975879803324326
-1,10,0.01,0.01064526769033695
-1,10,0.01,0.008310625919595322
-1,10,0.01,0.007544412802477623
-1,10,0.01,0.011234142257213805
-1,10,0.01,0.008481817764901216
-1,10,0.01,0.008195018719949045
-1,10,0.01,0.005647521351682719
-1,10,0.01,0.007594179637638056
-1,10,0.01,0.009148271053434442
-1,10,0.01,0.009544616901162187
-1,10,0.01,0.007634795768700396
-1,10,0.01,0.007673723504159366
-1,10,0.01,0.009502758088664694
-1,10,0.01,0.009407346288745762
-1,10,0.01,0.008140842039679394
-1,10,0.01,0.01045024110802306
-1,10,0.01,0.01301968695347874
-1,10,0.01,0.010434740942729401
-1,10,0.01,0.005075774272046567
-1,10,0.01,0.012107485537653506
-1,10,0.01,0.010001186586015082
-1,10,0.01,0.008717323367067039
-1,10,0.01,0.011813540856468
-1,10,0.01,0.009763914394282633
-1,10,0.01,0.009104186801617039
-1,10,0.01,0.012919675967443024
-1,10,0.01,0.00985375552323121
-1,10,0.01,0.007643798131651149
-1,10,0.01,0.009374786261533744
-1,10,0.01,0.015439746078487557
-1,10,0.01,0.009776612574647289
-1,10,0.01,0.009941953930182072
-1,10,0.01,0.010086946023927165
-1,10,0.01,0.008619575521863598
-1,10,0.01,0.007312178425119996
-1,10,0.01,0.009820881212343237
-1,10,0.01,0.00985436533310109
-1,10,0.01,0.012763595648302274
-1,10,0.01,0.009552300945509068
-1,10,0.01,0.011812811254910278
-1,10,0.01,0.008382531161726443
-1,10,0.01,0.008245974307828545
-1,10,0.01,0.010249235915569652
-1,10,0.01,0.008267981695757405
-1,10,0.01,0.006705327567169401
-1,10,0.01,0.006755046222955965
-1,10,0.01,0.010524178556338484
-1,10,0.01,0.01050142357308248
-1,10,0.01,0.00827413368094593
-1,10,0.01,0.009593188158372009
-1,10,0.01,0.010763741201884286
-1,10,0.01,0.008983202853103311
-1,10,0.01,0.01028289311316884
-1,10,0.01,0.013230979220543655
-1,10,0.01,0.007269656704265774
-1,10,0.01,0.00864150039283978
