N,M,h2,h2_est
5000,25,0.01,0.00914260742850001
5000,25,0.01,0.004848985457523982
5000,25,0.01,0.013960871694649348
5000,25,0.01,0.007836757407389323
5000,25,0.01,0.004444537593377239
5000,25,0.01,0.015743832418135057
5000,25,0.01,0.009867179974699627
5000,25,0.01,0.008588121836245983
5000,25,0.01,0.002128939715964174
5000,25,0.01,0.009407346288745762
5000,25,0.01,0.021459914483912292
5000,25,0.01,0.010902373729285186
5000,25,0.01,0.020089774629176025
5000,25,0.01,0.013173981043809218
5000,25,0.01,0.009166418022708279
5000,25,0.01,0.011223039748361315
5000,25,0.01,0.011164929311390421
5000,25,0.01,0.004562212157601934
5000,25,0.01,0.007597006350091031
5000,25,0.01,0.007248487983159598
5000,25,0.01,0.008158018444558924
5000,25,0.01,0.005069150436603062
5000,25,0.01,0.005598596557175405
5000,25,0.01,0.006216885069414553
5000,25,0.01,0.013415840465115023
5000,25,0.01,0.011758944107771301
5000,25,0.01,0.012377288906020715
5000,25,0.01,0.007442153785148782
5000,25,0.01,0.0071898082293554355
5000,25,0.01,0.01347304003136622
5000,25,0.01,0.0029542186157281323
5000,25,0.01,0.016169728671266325
5000,25,0.01,0.01025367494935462
5000,25,0.01,0.009093480249695637
5000,25,0.01,0.009327887917892028
5000,25,0.01,0.010030313154904826
5000,25,0.01,0.00894600016179065
5000,25,0.01,0.0038078516511219256
5000,25,0.01,0.015027231589827631
5000,25,0.01,0.005135138988231767
5000,25,0.01,0.016298490674239517
5000,25,0.01,0.014363108684387293
5000,25,0.01,0.017411448821726048
5000,25,0.01,0.005406404164805395
5000,25,0.01,0.022173432120112902
5000,25,0.01,0.01413922211307403
5000,25,0.01,0.0026243021872564784
5000,25,0.01,0.007604549355505497
5000,25,0.01,0.013453946832094579
5000,25,0.01,0.007566908503921266
5000,25,0.01,0.010726537354242234
5000,25,0.01,0.014231867877351739
5000,25,0.01,0.012799083686173543
5000,25,0.01,0.004612153830965016
5000,25,0.01,0.00824750782013525
5000,25,0.01,0.01601436762245037
5000,25,0.01,0.014576117277151971
5000,25,0.01,0.013496320001649457
5000,25,0.01,0.01192495957357759
5000,25,0.01,0.006624229162275022
5000,25,0.01,0.0040747005292614226
5000,25,0.01,0.0157564278440941
5000,25,0.01,0.013076833001147177
5000,25,0.01,0.009059751921432014
5000,25,0.01,0.008720024197829978
5000,25,0.01,0.01891414349195768
5000,25,0.01,0.009449373817169949
5000,25,0.01,0.008436733894619885
5000,25,0.01,0.008054997168067263
5000,25,0.01,0.006141657665150388
5000,25,0.01,0.014500899955477516
5000,25,0.01,0.01031538348453279
5000,25,0.01,0.008921099030397296
5000,25,0.01,0.011170450797655893
5000,25,0.01,0.00799876259957705
5000,25,0.01,0.0010773344234078824
5000,25,0.01,0.009772982855546817
5000,25,0.01,0.010258750460655065
5000,25,0.01,0.006967115401384782
5000,25,0.01,0.0004163782462781151
5000,25,0.01,0.011775660552324162
5000,25,0.01,0.01010255984725007
5000,25,0.01,0.017619023394391645
5000,25,0.01,0.002298809369107104
5000,25,0.01,0.009417835781105947
5000,25,0.01,0.006976201909310579
5000,25,0.01,0.01289817336754137
5000,25,0.01,0.013947112417586819
5000,25,0.01,0.011313562545118488
5000,25,0.01,0.007526650785197623
5000,25,0.01,0.012015138249318493
5000,25,0.01,0.012294288324925599
5000,25,0.01,0.013304620213291943
5000,25,0.01,0.012699961771446588
5000,25,0.01,0.008157007073592123
5000,25,0.01,0.022536769498605582
5000,25,0.01,0.014360454524238465
5000,25,0.01,0.007248038250297338
5000,25,0.01,0.01981358421185623
5000,25,0.01,0.008118163702239915
10000,25,0.01,0.013653659097350826
10000,25,0.01,0.006586090364950011
10000,25,0.01,0.005595813619040755
10000,25,0.01,0.009732541521067159
10000,25,0.01,0.003976723057369436
10000,25,0.01,0.008916679359181773
10000,25,0.01,0.01780277997100544
10000,25,0.01,0.005048388604815125
10000,25,0.01,0.006825437500448034
10000,25,0.01,0.008714623365471397
10000,25,0.01,0.00920680905803312
10000,25,0.01,0.0142397615275611
10000,25,0.01,0.0114415082024302
10000,25,0.01,0.008132267292375834
10000,25,0.01,0.015573323484171892
10000,25,0.01,0.00563665148929331
10000,25,0.01,0.0038767454475999966
10000,25,0.01,0.009578353967466504
10000,25,0.01,0.006448905903470882
10000,25,0.01,0.015508301570938748
10000,25,0.01,0.010055167852012362
10000,25,0.01,0.010785057818656862
10000,25,0.01,0.011765482530912082
10000,25,0.01,0.013572254244391475
10000,25,0.01,0.010931392544032852
10000,25,0.01,0.01391020056964184
10000,25,0.01,0.010609781015192749
10000,25,0.01,0.006671693529797189
10000,25,0.01,0.005213962775084319
10000,25,0.01,0.007980434276555011
10000,25,0.01,0.011690146014742508
10000,25,0.01,0.006814007704503724
10000,25,0.01,0.006174937111551179
10000,25,0.01,0.014154040272258061
10000,25,0.01,0.006797109605560279
10000,25,0.01,0.011585188849711442
10000,25,0.01,0.0027852597406791023
10000,25,0.01,0.014272258558700282
10000,25,0.01,0.014582402710568742
10000,25,0.01,0.015688723176505777
10000,25,0.01,0.007625330963031175
10000,25,0.01,0.009680874519732026
10000,25,0.01,0.013517139212993466
10000,25,0.01,0.011989198629686231
10000,25,0.01,0.005488345353710199
