N,M,h2,h2_est
-1,10,0.01,0.009385239792392357
-1,10,0.01,0.008591847672338912
-1,10,0.01,0.006976634893559676
-1,10,0.01,0.009926585839206227
-1,10,0.01,0.008989325391804562
-1,10,0.01,0.008841328376109115
-1,10,0.01,0.006014421675908161
-1,10,0.01,0.007918821836655283
-1,10,0.01,0.010100060028893803
-1,10,0.01,0.007286364604792196
-1,10,0.01,0.008689822211554604
-1,10,0.01,0.011046185135065043
-1,10,0.01,0.010454766279329465
-1,10,0.01,0.007826073542973941
-1,10,0.01,0.005900794518417758
-1,10,0.01,0.008365922968352382
-1,10,0.01,0.007418645390472565
-1,10,0.01,0.006359425519661832
-1,10,0.01,0.006573425967995495
-1,10,0.01,0.009006044249203189
-1,10,0.01,0.010535900107444875
-1,10,0.01,0.011906563052273701
-1,10,0.01,0.008280803454154394
-1,10,0.01,0.011169070173040618
-1,10,0.01,0.011964053117911351
-1,10,0.01,0.008381492192533087
-1,10,0.01,0.012499356320253448
-1,10,0.01,0.007413124723446294
-1,10,0.01,0.013413358968578626
-1,10,0.01,0.011342261480398914
-1,10,0.01,0.008529254347497095
-1,10,0.01,0.008622246331474124
-1,10,0.01,0.007069032624783931
-1,10,0.01,0.008744369028511379
-1,10,0.01,0.008321965728543693
-1,10,0.01,0.012173447292554356
-1,10,0.01,0.007514987886560441
-1,10,0.01,0.010438613850120928
-1,10,0.01,0.011338057145409152
-1,10,0.01,0.009099113720996288
-1,10,0.01,0.011114670243281602
-1,10,0.01,0.00880798131549926
-1,10,0.01,0.010986942630593122
-1,10,0.01,0.008784005114987885
-1,10,0.01,0.010976760209102807
-1,10,0.01,0.007940455411846122
-1,10,0.01,0.012948401141491294
-1,10,0.01,0.008314232377582444
-1,10,0.01,0.01150957111508019
-1,10,0.01,0.008983759276736435
-1,10,0.01,0.006992674083832212
-1,10,0.01,0.011543752483922228
-1,10,0.01,0.007878172101337717
-1,10,0.01,0.007499620318880203
-1,10,0.01,0.00802111008374506
-1,10,0.01,0.00916528279301044
-1,10,0.01,0.006551423151362922
-1,10,0.01,0.008327641385402538
-1,10,0.01,0.010904395823212579
-1,10,0.01,0.0052152596298358014
-1,10,0.01,0.009980786062092399
-1,10,0.01,0.011874986600302178
-1,10,0.01,0.006610670994406354
-1,10,0.01,0.01443228677285487
-1,10,0.01,0.009657533736321309
-1,10,0.01,0.012177205757508946
-1,10,0.01,0.005771701112352721
-1,10,0.01,0.013838371329622927
-1,10,0.01,0.008914470337349623
-1,10,0.01,0.009305390195445046
-1,10,0.01,0.010554159309030038
-1,10,0.01,0.011839104980078723
-1,10,0.01,0.009331353885005769
-1,10,0.01,0.010206212726961789
-1,10,0.01,0.014733149438052902
-1,10,0.01,0.012251859806647216
-1,10,0.01,0.009396286601036854
-1,10,0.01,0.012469305682909257
-1,10,0.01,0.012932434938964102
-1,25,0.01,0.010690782689002776
-1,25,0.01,0.009462252616315978
-1,25,0.01,0.008939353133207536
-1,25,0.01,0.008329706212139926
-1,25,0.01,0.009777822777607095
-1,25,0.01,0.00999809294636116
-1,25,0.01,0.008525027133277333
-1,25,0.01,0.008894613530604353
-1,25,0.01,0.011285632767305155
-1,25,0.01,0.01126542631220023
-1,25,0.01,0.009085036521765125
-1,25,0.01,0.008155995826976604
-1,25,0.01,0.010491037514232974
-1,25,0.01,0.01098965952015814
-1,25,0.01,0.0083193871526941
-1,25,0.01,0.008981533787099422
-1,25,0.01,0.010267638588797786
-1,25,0.01,0.009382915788185535
-1,25,0.01,0.009378850152371403
-1,25,0.01,0.01261949676180095
-1,25,0.01,0.008407504768379261
-1,25,0.01,0.009001582876841469
-1,25,0.01,0.010264463382828165
-1,25,0.01,0.007829956911597371
-1,25,0.01,0.010216319722411856
-1,25,0.01,0.009451128994193843
-1,25,0.01,0.011440094463757228
-1,25,0.01,0.009955497332284454
-1,25,0.01,0.009453469732532017
-1,25,0.01,0.010971333400661393
-1,25,0.01,0.009584284915878582
-1,25,0.01,0.011148381038060474
